DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,Mode_Overlap,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
1590.4980,1621.4050,30.9070,1.9432,,1.1262,1.5714,0.4452
1591.7100,1617.7610,26.0510,1.6367,0.9916,13.6998,0.0000,-13.6998
1593.1240,1566.3900,-26.7340,-1.6781,,0.7623,0.1508,-0.6115
1593.1710,1585.2810,-7.8900,-0.4952,,0.2656,0.5651,0.2996
1597.1750,1627.7820,30.6070,1.9163,,0.1041,0.1354,0.0313
1597.4170,1614.6270,17.2100,1.0774,,0.0135,0.0410,0.0275
1597.8800,1595.8050,-2.0750,-0.1299,,0.0113,0.0657,0.0544
1598.0660,1628.2040,30.1380,1.8859,,0.0343,0.0093,-0.0249
1598.9980,1598.8850,-0.1130,-0.0071,,0.1072,0.4342,0.3270
1600.0640,1597.6420,-2.4220,-0.1514,,0.0120,0.0346,0.0226
1602.3160,1606.0500,3.7340,0.2330,,1.1423,7.6219,6.4796
1604.2990,1612.7510,8.4520,0.5268,,0.0379,0.2780,0.2401
1606.0950,1625.6190,19.5240,1.2156,,0.4541,0.3077,-0.1464
1609.1940,1620.2120,11.0180,0.6847,,0.6359,1.6542,1.0183
1610.8460,1635.8440,24.9980,1.5519,,0.2824,0.1427,-0.1397
1611.5540,1644.8880,33.3340,2.0684,,0.7871,0.0720,-0.7152
1615.3320,1647.2130,31.8810,1.9736,,0.1158,0.2633,0.1474
1616.9280,1639.8760,22.9480,1.4192,,0.0005,0.0242,0.0237
1617.0640,1653.8510,36.7870,2.2749,,0.0092,0.0158,0.0065
1618.6660,1654.3220,35.6560,2.2028,,0.2165,0.0630,-0.1535
1618.7540,1633.7850,15.0310,0.9286,,1.2758,8.8861,7.6103
1620.4770,1650.5300,30.0530,1.8546,0.9822,28.9391,0.0000,-28.9391
1620.8350,1653.0870,32.2520,1.9898,,0.2085,3.1839,2.9754
1620.8650,1650.4480,29.5830,1.8251,,0.0380,0.2054,0.1674
1623.3520,1637.5490,14.1970,0.8745,,0.0349,0.8751,0.8402
1627.1740,1662.3750,35.2010,2.1633,,0.0000,0.0283,0.0283
1628.0450,1648.2520,20.2070,1.2412,,0.0531,0.0622,0.0091
1628.2410,1656.5080,28.2670,1.7360,,2.4980,3.1867,0.6887
1629.4650,1616.1840,-13.2810,-0.8151,,0.0258,0.0209,-0.0048
1633.6650,1644.2610,10.5960,0.6486,,0.7351,2.6654,1.9303
1635.7810,1604.1190,-31.6620,-1.9356,,4.8170,1.6072,-3.2098
1637.4980,1663.4580,25.9600,1.5853,,0.0548,0.0155,-0.0393
1638.6240,1638.5520,-0.0720,-0.0044,,0.0204,0.0318,0.0114
1639.2610,1676.2140,36.9530,2.2542,,0.0528,0.0394,-0.0134
1640.8030,1654.4010,13.5980,0.8287,,2.6287,0.0248,-2.6039
1642.5320,1672.5870,30.0550,1.8298,,1.0054,0.3554,-0.6500
1642.7760,1676.5950,33.8190,2.0586,,12.4660,2.6589,-9.8071
1644.2920,1677.3330,33.0410,2.0094,,4.8235,1.9718,-2.8518
1644.7030,1675.3310,30.6280,1.8622,,0.1274,0.6242,0.4969
1649.2850,1659.9860,10.7010,0.6488,,0.1248,0.9909,0.8661
1651.2200,1682.4850,31.2650,1.8934,,0.2107,0.0310,-0.1797
1653.5210,1661.3800,7.8590,0.4753,,0.0534,22.1121,22.0588
