DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,Mode_Overlap,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
590.1560,612.1700,22.0140,3.7302,,0.0077,0.0812,0.0735
590.4900,606.7210,16.2310,2.7487,,0.1160,0.1649,0.0489
591.4450,586.0040,-5.4410,-0.9200,,0.2739,2.5658,2.2919
601.6940,628.9060,27.2120,4.5226,,0.0773,0.9259,0.8486
602.4780,623.5870,21.1090,3.5037,,0.2510,0.0338,-0.2172
607.9060,620.7030,12.7970,2.1051,,0.1546,4.4865,4.3318
608.2000,629.9930,21.7930,3.5832,,6.3750,19.7013,13.3262
610.7840,623.3140,12.5300,2.0515,,0.7426,6.4438,5.7013
618.0190,637.0250,19.0060,3.0753,,0.1821,3.3182,3.1361
618.4250,625.9360,7.5110,1.2145,,0.0167,0.0408,0.0241
623.1740,631.9850,8.8110,1.4139,,0.6180,9.0068,8.3888
628.0170,660.4500,32.4330,5.1644,,0.0811,1.2448,1.1637
636.1690,655.3240,19.1550,3.0110,,0.1741,0.0507,-0.1234
636.9410,649.8600,12.9190,2.0283,,0.1531,0.0410,-0.1121
637.2020,644.2560,7.0540,1.1070,0.9844,32.5722,0.0000,-32.5722
640.3420,677.4770,37.1350,5.7992,,0.3680,0.1839,-0.1842
648.4590,670.1040,21.6450,3.3379,,1.0452,1.6877,0.6425
651.0060,656.1390,5.1330,0.7885,,1.9203,2.5745,0.6542
654.1450,696.6560,42.5110,6.4987,,0.1121,0.4970,0.3849
654.6730,690.8850,36.2120,5.5313,,34.7068,0.8192,-33.8876
654.7490,691.0930,36.3440,5.5508,,0.6894,0.1509,-0.5385
655.1200,664.9620,9.8420,1.5023,,0.3772,2.0884,1.7112
655.5260,666.6330,11.1070,1.6944,,0.1795,0.0286,-0.1508
656.6960,686.0340,29.3380,4.4675,,0.1327,1.8263,1.6936
660.3600,686.9190,26.5590,4.0219,,0.0364,2.5242,2.4877
665.1830,671.1300,5.9470,0.8940,,42.4347,25.9541,-16.4806
665.3290,672.6030,7.2740,1.0933,0.7561,3.8327,0.0000,-3.8327
672.3250,672.6140,0.2890,0.0430,,1.1074,3.8391,2.7317
672.8950,706.2850,33.3900,4.9621,,0.0133,1.9340,1.9207
674.2870,700.0170,25.7300,3.8159,,0.0338,1.9164,1.8826
674.3510,703.7380,29.3870,4.3578,,0.1719,1.6851,1.5132
690.9940,697.1780,6.1840,0.8949,,0.1772,0.2708,0.0936
692.4010,745.1960,52.7950,7.6249,,0.0101,10.3378,10.3277
693.9920,707.5890,13.5970,1.9592,,1.4681,5.1039,3.6358
694.9580,712.9820,18.0240,2.5935,,0.0064,1.2390,1.2327
696.7640,699.5220,2.7580,0.3958,,0.1923,7.1267,6.9344
696.9180,739.3440,42.4260,6.0877,,1.9242,0.0786,-1.8456
704.2060,717.4160,13.2100,1.8759,0.9624,41.3298,0.0000,-41.3298
710.3390,715.0900,4.7510,0.6688,,0.0386,0.4218,0.3832
712.5680,754.4580,41.8900,5.8787,,10.2903,0.0405,-10.2498
714.6110,751.0730,36.4620,5.1024,,0.1577,165.7474,165.5897
717.7060,740.5830,22.8770,3.1875,,0.0069,0.0354,0.0285
718.7450,735.0560,16.3110,2.2694,,0.0489,0.0558,0.0070
728.9800,742.9530,13.9730,1.9168,0.9939,3.2213,0.0000,-3.2213
730.9940,735.0700,4.0760,0.5576,,5.1620,10.8486,5.6866
735.1170,745.2070,10.0900,1.3726,,103.8483,83.7523,-20.0960
736.4950,750.1370,13.6420,1.8523,,0.0051,0.1063,0.1012
738.1220,748.0270,9.9050,1.3419,,42.5325,14.9848,-27.5478
741.5830,749.1940,7.6110,1.0263,,93.2620,26.7538,-66.5082
741.9790,760.4580,18.4790,2.4905,,0.2029,0.1491,-0.0537
742.3750,765.9640,23.5890,3.1775,,0.0113,3.1449,3.1336
749.6350,764.7040,15.0690,2.0102,,0.9356,3.5711,2.6355
755.7760,789.0840,33.3080,4.4071,,0.0073,0.6482,0.6409
759.7710,774.8820,15.1110,1.9889,,0.1264,35.1133,34.9869
764.9250,780.4560,15.5310,2.0304,0.9850,16.9852,0.0000,-16.9852
768.9890,778.5920,9.6030,1.2488,,0.4650,4.2328,3.7677
776.4010,798.4960,22.0950,2.8458,,0.0480,0.0440,-0.0039
776.4750,789.1370,12.6620,1.6307,,2.1067,4.0251,1.9184
777.4290,780.0280,2.5990,0.3343,,1.2171,3.5266,2.3095
778.0840,814.6460,36.5620,4.6990,,0.9323,1.2300,0.2977
781.4110,790.2980,8.8870,1.1373,,0.1498,8.0881,7.9384
784.2520,791.0640,6.8120,0.8686,,0.1379,0.2855,0.1476
785.4520,815.9700,30.5180,3.8854,,0.0410,0.7516,0.7106
786.4390,810.5060,24.0670,3.0603,,0.0403,1.0261,0.9857
788.0340,805.3570,17.3230,2.1983,,0.4801,4.0509,3.5708
795.7480,815.2490,19.5010,2.4507,0.9916,1.1555,0.0000,-1.1555
