DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,Mode_Overlap,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
31.6552,-19.7499,-51.4051,-162.3909,0.9786,1.1993,4.3406,3.1413
82.4204,82.4456,0.0252,0.0306,0.9356,2.0878,10.8304,8.7426
87.5414,90.8530,3.3116,3.7829,0.9607,4.5869,21.7265,17.1396
100.5237,98.1295,-2.3942,-2.3818,0.8667,0.9202,2.9049,1.9847
118.3226,121.8986,3.5760,3.0223,0.9967,0.0287,2.3005,2.2718
141.4341,135.6775,-5.7566,-4.0702,0.9808,1.3998,1.9035,0.5037
231.5486,227.6121,-3.9365,-1.7001,0.9969,0.3849,0.6453,0.2604
272.6319,272.8767,0.2447,0.0898,0.9941,0.7574,7.6380,6.8806
311.2450,313.0014,1.7564,0.5643,0.9982,1.3991,3.7036,2.3045
358.5020,357.8220,-0.6800,-0.1897,0.9896,1.2818,1.3631,0.0813
424.3600,419.7906,-4.5694,-1.0768,0.6728,4.4329,10.8553,6.4224
433.8709,425.5794,-8.2915,-1.9110,0.8311,6.4803,17.1886,10.7083
515.4527,510.6628,-4.7899,-0.9293,0.9924,4.4910,8.6569,4.1659
527.7836,531.0456,3.2620,0.6181,0.9887,11.8329,21.2312,9.3983
558.3964,559.4482,1.0517,0.1883,0.9895,3.6936,37.1893,33.4957
579.0552,583.9285,4.8734,0.8416,0.9953,18.5607,172.2913,153.7306
600.7769,631.0411,30.2642,5.0375,0.9886,71.8149,266.7347,194.9198
643.5292,642.9723,-0.5570,-0.0865,0.9095,34.5283,68.5002,33.9719
668.7701,671.6631,2.8930,0.4326,0.9862,10.1610,8.1772,-1.9838
715.5391,718.6501,3.1110,0.4348,0.9908,49.4566,314.3371,264.8805
745.6997,748.8934,3.1937,0.4283,0.9952,33.1874,344.1834,310.9960
775.4050,779.9918,4.5867,0.5915,0.9877,20.8241,433.6528,412.8287
803.7763,805.8170,2.0406,0.2539,0.9904,0.2939,38.1672,37.8733
839.3238,848.4139,9.0901,1.0830,0.9968,18.1804,92.5699,74.3895
893.3006,896.7816,3.4810,0.3897,0.9990,6.9188,30.2108,23.2920
928.4837,933.7936,5.3099,0.5719,0.9932,40.5982,61.1618,20.5636
972.2650,984.3469,12.0819,1.2427,0.9950,3.5951,12.4233,8.8282
998.6246,1018.8189,20.1944,2.0222,0.9956,0.0918,0.0352,-0.0566
1022.0356,1030.8397,8.8041,0.8614,0.9964,63.4668,10.4412,-53.0256
1062.3506,1069.8426,7.4919,0.7052,0.9583,11.5983,210.8260,199.2277
1069.2192,1071.2709,2.0516,0.1919,0.9451,2.4416,53.6891,51.2475
1090.7014,1094.5004,3.7990,0.3483,0.9960,139.0051,198.9520,59.9469
1159.5937,1159.7271,0.1334,0.0115,0.9755,35.8495,4.3409,-31.5086
1187.8271,1179.7675,-8.0596,-0.6785,0.9699,78.8362,12.3886,-66.4476
1207.7431,1223.5709,15.8278,1.3105,0.9566,211.4210,369.1724,157.7514
1222.9387,1244.8590,21.9204,1.7924,0.9835,498.8877,198.1076,-300.7801
1253.4455,1256.6806,3.2351,0.2581,0.9897,13.0776,15.4682,2.3906
1301.1184,1303.9235,2.8051,0.2156,0.9979,9.5497,24.5602,15.0105
1353.7908,1358.4126,4.6218,0.3414,0.9887,4.5625,32.8219,28.2594
1388.2348,1392.3512,4.1164,0.2965,0.9953,110.5119,139.5919,29.0800
1403.6855,1406.5215,2.8360,0.2020,0.9941,79.2280,181.4797,102.2517
1484.9614,1486.4532,1.4918,0.1005,0.9025,10.8499,30.8888,20.0389
1487.8954,1485.1363,-2.7590,-0.1854,0.8166,18.7139,28.9072,10.1933
1491.1779,1493.5003,2.3224,0.1557,0.7712,4.4505,111.9497,107.4992
1527.5159,1535.7741,8.2582,0.5406,0.9977,42.2207,140.0115,97.7908
1630.2579,1644.3447,14.0867,0.8641,0.9935,17.0089,36.7368,19.7279
1661.1231,1675.1451,14.0221,0.8441,0.9943,41.8812,80.0888,38.2076
1811.7834,1809.8497,-1.9338,-0.1067,0.9964,354.4277,427.6177,73.1900
1866.9618,1847.4764,-19.4854,-1.0437,0.9959,204.7861,290.6592,85.8731
3071.0135,3063.0834,-7.9301,-0.2582,0.9962,1.5808,16.3400,14.7592
3143.6019,3136.6927,-6.9091,-0.2198,0.9948,3.9473,51.8212,47.8739
3181.5335,3176.9432,-4.5903,-0.1443,0.9969,7.8024,52.4416,44.6392
3191.7486,3183.4288,-8.3198,-0.2607,0.9909,2.9245,15.7998,12.8753
3207.2242,3198.8622,-8.3620,-0.2607,0.9443,14.4006,146.9250,132.5244
3219.4261,3208.9448,-10.4813,-0.3256,0.9501,5.7814,223.8810,218.0996
3236.4610,3225.6837,-10.7774,-0.3330,0.9959,2.3085,157.6552,155.3467
3767.0797,3740.8737,-26.2060,-0.6957,0.9994,81.9611,609.2190,527.2579
