DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,Mode_Overlap,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
1615.1530,1570.2510,-44.9020,-2.7800,1.0000,69.2947,94.3904,25.0957
3194.7460,3104.7080,-90.0380,-2.8183,,0.8060,0.4045,-0.4015
3624.0010,3643.7910,19.7900,0.5461,1.0000,0.6283,2.0991,1.4708
3722.2730,3739.4020,17.1290,0.4602,0.9999,16.0976,34.7144,18.6168
5228.0510,5200.5260,-27.5250,-0.5265,,0.3102,0.2673,-0.0429
5319.3530,5291.5550,-27.7980,-0.5226,,2.4809,0.0062,-2.4747
7161.5700,7202.1370,40.5670,0.5665,,0.7757,0.0021,-0.7736
7179.8000,7219.0630,39.2630,0.5469,,2.0466,3.5534,1.5068
7346.6750,7390.9560,44.2810,0.6027,,0.0491,0.0005,-0.0486
