DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
1090.4258,864.7576,-225.6682,-20.6954,145.0611,1110.2853,965.2242
1693.8629,1553.6050,-140.2579,-8.2804,13.5292,420.6499,407.1207
1694.0026,1553.6061,-140.3965,-8.2879,13.5263,420.6494,407.1231
3461.9879,3455.7403,-6.2476,-0.1805,1.0692,144.3159,143.2467
3590.0909,3614.7926,24.7017,0.6881,0.2806,572.9136,572.6330
3590.5280,3614.7957,24.2677,0.6759,0.2775,572.9143,572.6368
