DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
1326.9920,1296.2480,-30.7440,-2.3168,13.3492,24.3633,11.0141
1327.1400,1296.2480,-30.8920,-2.3277,13.3364,24.3633,11.0269
1327.2930,1296.2490,-31.0440,-2.3389,13.3236,24.3633,11.0397
1544.7250,1512.8820,-31.8430,-2.0614,0.0000,0.0000,0.0000
2620.8280,2588.1520,-32.6760,-1.2468,0.0000,0.0598,0.0598
2648.8770,2595.8840,-52.9930,-2.0006,0.2116,0.0000,-0.2116
2649.0760,2595.5370,-53.5390,-2.0210,0.3185,0.0060,-0.3125
2649.1140,2587.7790,-61.3350,-2.3153,0.3173,0.0981,-0.2192
2658.0210,2561.6420,-96.3790,-3.6260,0.0013,0.0000,-0.0013
2658.2680,2587.7790,-70.4890,-2.6517,0.0012,0.0981,0.0969
2857.9920,2808.3070,-49.6850,-1.7385,1.0970,0.1579,-0.9390
2862.2270,2800.5360,-61.6910,-2.1553,0.8254,0.4737,-0.3517
2862.2830,2812.1940,-50.0890,-1.7500,0.8218,0.0000,-0.8218
2870.7850,2796.6510,-74.1340,-2.5824,0.2779,0.6316,0.3537
2870.8400,2808.3080,-62.5320,-2.1782,0.2744,0.1579,-0.1164
2875.0900,2800.5360,-74.5540,-2.5931,0.0023,0.4737,0.4714
2926.9850,2837.4450,-89.5400,-3.0591,0.0000,0.0000,-0.0000
3024.3900,2947.0580,-77.3320,-2.5569,28.4415,12.9808,-15.4607
3024.9780,2947.0500,-77.9280,-2.5762,28.4463,12.9808,-15.4655
3025.5870,2947.0580,-78.5290,-2.5955,28.4395,12.9808,-15.4587
3088.6740,3024.6550,-64.0190,-2.0727,0.0000,0.0000,0.0000
3090.5400,3017.4090,-73.1310,-2.3663,0.0000,0.0000,0.0000
3090.5480,3033.5990,-56.9490,-1.8427,0.0000,0.0000,0.0000
4255.6310,4136.1790,-119.4520,-2.8069,0.7956,0.0079,-0.7878
4255.6310,4136.1810,-119.4500,-2.8069,0.7956,0.0079,-0.7878
4255.6370,4136.1790,-119.4580,-2.8071,0.7956,0.0079,-0.7878
4344.2050,4235.1680,-109.0370,-2.5099,0.4590,0.0293,-0.4298
4344.2110,4235.7360,-108.4750,-2.4970,0.4605,0.0107,-0.4499
4344.2190,4235.7360,-108.4830,-2.4972,0.4597,0.0107,-0.4491
4344.2220,4235.1780,-109.0440,-2.5101,0.4598,0.0293,-0.4305
4344.7290,4235.1680,-109.5610,-2.5217,0.4597,0.0293,-0.4305
4344.7340,4235.1780,-109.5560,-2.5216,0.4590,0.0293,-0.4297
4346.1580,4236.0520,-110.1060,-2.5334,0.0011,0.0000,-0.0011
4346.1640,4235.5010,-110.6630,-2.5462,0.0004,0.0186,0.0182
4346.7110,4235.5010,-111.2100,-2.5585,0.0003,0.0186,0.0183
4452.3250,4339.7220,-112.6030,-2.5291,0.0000,0.0000,0.0000
4452.3300,4339.7220,-112.6080,-2.5292,0.0000,0.0000,0.0000
4554.4400,4449.2830,-105.1570,-2.3089,0.0000,0.0130,0.0130
4556.4370,4450.7400,-105.6970,-2.3197,0.0046,0.0173,0.0127
4556.4420,4446.3540,-110.0880,-2.4161,0.0046,0.0043,-0.0003
4560.4600,4444.8810,-115.5790,-2.5344,0.0138,0.0000,-0.0138
4560.4610,4449.2830,-111.1780,-2.4379,0.0138,0.0130,-0.0008
4562.4930,4446.3540,-116.1390,-2.5455,0.0184,0.0043,-0.0140
5829.5620,5631.7320,-197.8300,-3.3936,0.0000,0.0000,0.0000
5899.9420,5691.5770,-208.3650,-3.5316,0.0566,0.0986,0.0420
5899.9450,5691.5890,-208.3560,-3.5315,0.0566,0.0986,0.0420
5899.9710,5691.5890,-208.3820,-3.5319,0.0567,0.0986,0.0420
5948.7560,5900.2860,-48.4700,-0.8148,0.0000,0.0000,-0.0000
5986.8150,5738.9800,-247.8350,-4.1397,0.4093,0.0000,-0.4093
5990.5080,5799.0270,-191.4810,-3.1964,0.2727,0.1130,-0.1597
5990.5590,5799.0990,-191.4600,-3.1960,0.2725,0.1129,-0.1596
6056.6210,5799.0270,-257.5940,-4.2531,0.0001,0.1130,0.1129
6057.9700,5900.2360,-157.7340,-2.6037,0.0004,0.0001,-0.0003
