DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
4404.9150,4375.0820,-29.8330,-0.6773,0.3932,0.0058,-0.3874
4528.2500,6547.9450,2019.6950,44.6021,0.0855,0.0000,-0.0855
4663.8710,4002.4240,-661.4470,-14.1824,0.0452,0.5481,0.5029
4727.1590,4158.3700,-568.7890,-12.0324,0.0005,0.7139,0.7134
4728.6970,3243.8260,-1484.8710,-31.4013,0.0576,0.0103,-0.0473
4774.7950,4351.5060,-423.2890,-8.8651,0.0255,0.0184,-0.0072
4792.1380,4489.6340,-302.5040,-6.3125,0.1326,0.0496,-0.0830
4843.7200,4436.9830,-406.7370,-8.3972,0.5304,0.1618,-0.3686
4982.3540,4564.3550,-417.9990,-8.3896,0.3059,0.2513,-0.0546
5053.0990,4746.4050,-306.6940,-6.0694,0.1723,1.5837,1.4113
5101.6500,4954.1110,-147.5390,-2.8920,0.0002,0.1633,0.1631
5125.0510,4875.8320,-249.2190,-4.8628,0.0032,0.6213,0.6181
5500.2030,5008.1220,-492.0810,-8.9466,0.5282,0.0061,-0.5221
5701.8800,4743.2530,-958.6270,-16.8125,0.0810,0.0009,-0.0801
5737.4750,3614.2720,-2123.2030,-37.0059,0.0419,0.8572,0.8153
5771.6820,5796.8190,25.1370,0.4355,0.3498,0.1225,-0.2273
5784.3300,4888.4920,-895.8380,-15.4873,0.0465,0.0011,-0.0455
5823.1960,6087.8660,264.6700,4.5451,0.2190,0.5486,0.3297
5870.8060,5950.1760,79.3700,1.3519,0.0906,0.3307,0.2401
6570.1530,5394.5570,-1175.5960,-17.8930,0.0051,0.0317,0.0266
6616.3050,6507.7180,-108.5870,-1.6412,0.0001,0.0004,0.0003
6633.1760,6650.5470,17.3710,0.2619,0.0001,0.0001,-0.0000
7207.1740,6994.1850,-212.9890,-2.9552,3.6907,14.4779,10.7872
